title;content;rating;helpful_count;not_helpful_count;corrected_content
Great;The movie was a great success. The main character was very positive in all three aspects. In despair also do not give up, and through years of efforts to escape from prison to punish the wicked. The movie's main character allows himself to bring a little hope to the dark prison.;10;2;1;The movie was a great success. The main character was very positive in all three aspects. In despair also do not give up, and through years of efforts to escape from prison to punish the wicked. The movie's main character allows himself to bring a little hope to the dark prison.
An incredible Movie wow wow;It's no wonder this film has garnered such a high rating - it is truly breathtaking. The story, the acting, and the overall premise all come together to create a truly captivating experience. But what really sets this movie apart is the way it lingers with you long after viewing.This is not just any ordinary film - it's a profound exploration of friendship, hope, and the human condition. The way it tackles themes of adversity and perseverance is both poignant and inspiring. You find yourself deeply invested in the characters and their journeys, to the point where you can't help but be affected by their triumphs and struggles.What's most remarkable is how effortlessly the movie connects with the viewer on an emotional level. It's the kind of film that sticks with you, that you find yourself reflecting on days or even weeks later. It's a testament to the power of cinema to move, challenge, and transform us.In the end, this is a truly special film that deserves every bit of its high praise. It's a must-see for anyone who appreciates the art of storytelling at its finest.;9;1;0;It's no wonder this film has garnered such a high rating - it is truly breathtaking. The story, the acting, and the overall premise all come together to create a truly captivating experience. But what really sets this movie apart is the way it lingers with you long after viewing. This is not just any ordinary film - it's a profound exploration of friendship, hope, and the human condition. The way it tackles themes of adversity and perseverance is both poignant and inspiring. You find yourself deeply invested in the characters and their journeys, to the point where you can't help but be affected by their triumphs and struggles. What's most remarkable is how effortlessly the movie connects with the viewer on an emotional level. It's the kind of film that sticks with you, that you find yourself reflecting on days or even weeks later. It's a testament to the power of cinema to move, challenge, and transform us. In the end, this is a truly special film that deserves every bit of its high praise. It's a must-see for anyone who appreciates the art of storytelling at its finest.
A harsh tale that lifts you again and again;"I have seen this movie a few times. Each time with the same hope and enthusiasm as before. The main story is obviously Andy's. His fears, his hopes and dreams... his struggle to remain sane. As a rock hammer, Andy chisels the prison around him. But this is more than the story of Andy and his way out of prison. It's a tale of society, men trying to survive trying to remain human and civilized. Red is a gentleman masterfully played by on of the greatest actors ever. His character adds depth to the story and makes room for hope, for friendship. All those around Andy benefit from his morals, his intelligence, his perseverance, his will not to let go of himself. At first we see men with no hope, no way out of their walls. Brooks is an unfortunate part of it. But Andy changes lives. Some study, some begin to plan life outside the walls. Even the guards look up to a man as righteous as they come. Every time I see it I get the same warm feeling as the first time I saw it without actually knowing what it was, what it is... It's only fitting it sits on top of the charts and if that makes people watch it, it's just enough as it will bring them the same feeling again and again. I movie to watch once a year or whenever you need a little ""pick-me-up"".";10;2;1;"I have seen this movie a few times. Each time with the same hope and enthusiasm as before. The main story is obviously Andy's. His fears, his hopes and dreams... his struggle to remain sane. As a rock hammer, Andy chisels the prison around him. But this is more than the story of Andy and his way out of prison. It's a tale of society, men trying to survive trying to remain human and civilized. Red is a gentleman masterfully played by one of the greatest actors ever. His character adds depth to the story and makes room for hope, for friendship. All those around Andy benefit from his morals, his intelligence, his perseverance, his will not to let go of himself. At first we see men with no hope, no way out of their walls. Brooks is an unfortunate part of it. But Andy changes lives. Some study, some begin to plan life outside the walls. Even the guards look up to a man as righteous as they come. Every time I see it I get the same warm feeling as the first time I saw it without actually knowing what it was, what it is. It's only fitting that it sits on top of the charts and if that makes people watch it, it's just enough as it will bring them the same feeling again and again. I watch a movie once a year or whenever you need a little ""pick-me-up""."
No words;I actually don´t have any words to describe it. It is just mind blowing, awesome ...;10;1;0;I actually don t have any words to describe it. It is just mind blowing, awesome ...
A beautiful friendship story;If intention is what counts, A Dream of Freedom is a great film, especially when it focuses on showing the strong friendship of the protagonists. One of the most beautiful friends ever portrayed in the movies. A movie that is very exciting, With great interpretations of great actors;10;1;0;If intention is what counts, A Dream of Freedom is a great film, especially when it focuses on showing the strong friendship of the protagonists. One of the most beautiful friends ever portrayed in the movies. A movie that is very exciting, with great interpretations of great actors.
Great movie;I fully agree that The Shawshank Redemption in number one on TOP list. I can watch that movie everyday and it let me remember what is important in our life. Fantastic actress, movie fully deserved for all rewards.;10;1;0;I fully agree that The Shawshank Redemption is number one on the TOP list. I can watch that movie everyday and it helps me remember what is important in our life. Fantastic actress, movie fully deserved for all rewards.
Its the number one rated movie for a reason.;This movie is amazing from beginning to end. It takes a really good movie for me to not check to see how much longer is left and that's what happened when I was watching The Shawshank Redemption. I accidentally moved my mouse and I saw I was already an hour into the movie when it felt like I just started. A must match in my opinion.All the characters feel real. Its amazing how good everyones acting is. I genuinely felt like I was there with them watching their everyday life. There are a lot of lovable characters and a lot of ones you will hate. Each and every one has there place and you start to feel connected to some of them. Amazing story telling.;10;1;0;This movie is amazing from beginning to end. It takes a really good movie for me to not check to see how much longer is left and that's what happened when I was watching The Shawshank Redemption. I accidentally moved my mouse and I saw I was already an hour into the movie when it felt like I just started. A must match in my opinion. All the characters feel real. It is amazing how good everyone's acting is. I genuinely felt like I was there with them watching their everyday life. There are a lot of lovable characters and a lot of ones you will hate. Each and every one has their place and you start to feel connected to some of them. Amazing story telling.
Best movie ever;This is how movies should be made, this is such a great movie and I will recommend to everyone.;6;1;1;This is how movies should be made, this is such a great movie and I will recommend it to everyone.
My take on the film;"I was amazed, encaptured and enthralled when I saw this film for the first time. I was flicking idly through the television one night when I caught the opening titles just as I was about to go to bed, and thought I'd give it a try. What can I say? 3 hours later I was almost in tears over the ending, but I'll say no more.It's obvious the film has overwhelming themes of hope, friendship, redemption ad freedom, but it is the hope that so suffuses the film and lifts it above other ""triumphing over adversity"" films. It is a film that does not try to justify any governmental or judicial system, or the skill of a lawyer, but simply the hope and compassion that is part of the tarnished human spirit.I bought this film on DVD recently, replacing my rather elderly tape, and it cost me the grand total of £3 (about $5 or so) and, pound for pound, it's the best value for money I've ever spent on anything. If only all DVD's were this good and this cheap.";10;1;0;"I was amazed, encaptured and enthralled when I saw this film for the first time. I was flicking idlely through the television one night when I caught the opening titles just as I was about to go to bed, and thought I'd give it a try. What can I say? 3 hours later I was almost in tears over the ending, but I'll say no more. It's obvious the film has overwhelming themes of hope, friendship, redemption and freedom, but it is the hope that so suffuses the film and lifts it above other ""triumphing over adversity"" films. It is a film that does not try to justify any governmental or judicial system, or the skill of a lawyer, but simply the hope and compassion that is part of the tarnished human spirit. I bought this film on DVD recently, replacing my rather old tape, and it cost me the grand total of £3 (about $5 or so) and, pound for pound, it's the best value for money I've ever spent on anything. If only all DVD's were this good and this cheap."
Not the best but still excellent;"It is not my favourite movie ever but it works for almost everyone. That is saying a lot.
It has emotion and it is difficult for me to find a movie so moving as this one, without being manipulative and cheesy. Hollywood seems stuck in creating much noise at first glance and being empty at posterior views. Here, it worked for me since the first view. The emotion is always there, sometimes taken from the dialogue, or from the soundtrack, or the unexpected direction the movie takes.";7;0;0;It is not my favourite movie ever, but it works for almost everyone. That is saying a lot. It has emotion and it is difficult for me to find a movie so moving as this one, without being manipulative and cheesy. Hollywood seems stuck in creating noise at first glance and being empty at posterior views. Here, it worked for me since the first view. The emotion is always there, sometimes taken from the dialogue, or from the soundtrack, or the unexpected direction the movie takes.
Not bad, but Seriously Overrated;"This is not a bad film, and I would recommend renting it. But its admirers who rank it as one of the best films of all time -- even above classics like Citizen Kane or The Godfather -- are seriously overrating it.The popularity of this film apparently comes from its uplifting message about the power of hope. Nothing else in Shawshank Redeption is extraordinary. The acting is only good: indeed, Tim Robbins's acting of Andy Dufresne is two-dimensional. Morgan Freeman is much better as Red. The photography is unremarkable. Most seriously, however, the moral dilemmas in this film are melodramatic and black-and-white. Andy Dufresne is impossibly noble. The guards and, especially, the warden are unbelievably evil and corrupt. It's nice to think a prison would be reformed by building a nice library. But sorry, folks, the world is more complicated than that. At best, this film can be enjoyed as a kind of uplifting fable, a sort of fairy-story for adults. Nobody struggles with the ambiguities and complexities of real life in this film, and so the ""redemption"" it offers is false.As a point of comparison, take another film in this ""criminal redemption"" genre -- Dead Man Walking, a film, significantly, by Tom Robbins. Here is real, tough, moral drama. Can we forgive the Shawn Penn character? Is his redemption real? The film poses these questions without answering them. Plus the acting is rich and nuanced, the direction riveting. Dead Man Walking is much better film than Shawshank Redemption because it's about real life.";7;1;1;"This is not a bad film, and I would recommend renting it. But its admirers who rank it as one of the best films of all time -- even above classics like Citizen Kane or The Godfather -- are seriously overrating it. The popularity of this film apparently comes from its uplifting message about the power of hope. Nothing else in the Shawshank Redeption is extraordinary. The acting is only good: indeed, Tim Robbins's acting of Andy Dufresne is two-dimensional. Morgan Freeman is much better as Red. The photography is unremarkable. Most seriously, however, the moral dilemmas in this film are melodramatic and black-and-white. Andy Dufresne is impossibly noble. The guards and, especially, the warden are unbelievably evil and corrupt. It's nice to think a prison would be reformed by building a nice library. But sorry, folks, the world is more complicated than that. At best, this film can be enjoyed as a kind of uplifting fable, a sort of fairy-story for adults. Nobody struggles with the ambiguities and complexities of real life in this film, and so the ""redemption"" it offers is false. As a point of comparison, take another film in this ""criminal redemption"" genre -- Dead Man Walking, a film, significantly, by Tom Robbins. Here is real, tough, moral drama. Can we forgive the Shawn Penn character? Is his redemption real? The film poses these questions without answering them. Plus, the acting is rich and nuanced, and the direction is riveting. Dead Man Walking is a much better film than Shawshank Redemption because it's about real life."
A good film;"""The Shawshank Redemption"" is not a depressing story, although I may have made it sound that way. There is a lot of life and humor in it, and warmth in the friendship that builds up between Andy and Red. There is even excitement and suspense, although not when we expect it. But mostly the film is an allegory about holding onto a sense of personal worth, despite everything. If the film is perhaps a little slow in its middle passages, maybe that is part of the idea, too, to give us a sense of the leaden passage of time, before the glory of the final redemption.All in all, I think it is a very good film and worthy everybody to watch it, the most important sentences ¡°Hope is a good thing, maybe the best of things, No good thing ever dies.¡± It is really make us thinking deeply, and another one which was said by Red, he said that there has one kind of birds that you could never keep him in the cage, because every feather of his body was covered by the brilliance of freedom. I think everyone should remember this, everyone of us are covered by some brilliance of our own, we should never give up no matter how difficult it is! And we should remember that ¡°hope is a good thing¡± ,we should have hopes for all our lives!--------------------------------------------------------------------------------";No rating;1;1;"""The Shawshank Redemption"" is not a depressing story, although I may have made it sound that way. There is a lot of life and humor in it, and warmth in the friendship that builds up between Andy and Red. There is even excitement and suspense, although not when we expect it. But mostly the film is an allegory about holding onto a sense of personal worth, despite everything. If the film is perhaps a little slow in its middle passages, maybe that is part of the idea, too, to give us a sense of the leaden passage of time, before the glory of the final redemption. All in all, I think it is a very good film and worthy of watching by everyone, the most important sentences are ° Hope is a good thing, maybe the best of things, no good thing ever dies.  It really makes us think deeply, and another one which was said by Red, he said that there are one kind of birds that you could never keep him in the cage, because every feather of his body was covered by the brilliance of freedom. I think everyone should remember this, everyone of us are covered by some brilliance of our own, we should never give up no matter how difficult it is! And we should remember that °hope is a good thing , we should have hopes for all our lives! --------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------"
One of the best value is to being human no matter of obstacles!;This move was released in earlier 90s and still gives you a lot of inspirational prospects!;10;1;0;This move was released in the early 90s and still gives you a lot of inspirational prospects!
